中部門コード,中部門名称,売上日付,部門区分,売上№,送り状№,受注№,得意先コード,得意先名称,納品先コード,納品先名称,売上担当者コード,売上担当者名称,大部門コード,大部門名称,相手先伝票№,送り状番号,伝票区分名,納入日付,送り状発行区分,運送会社コード,運送会社名称,配送区分,得意先締日,消費税率,帳端区分,取引区分,在庫管理NO.,品名コード,品名,規格,目付コード,寸法,単重,入数,個数,総重量,計算区分名,売上単価,売上金額,消費税金額,原価単価,原価金額,出庫倉庫コード,出庫倉庫名,行摘要１,行摘要２,備考,ユーザーID,ユーザー名称
2,営業２部,20250401,2,00198529,00134726,,22162340,ｻﾐｯﾄｽﾁｰﾙ(ｽｸﾗｯﾌﾟ),00399000,,00000230,竹原,2,大阪本店,,134726,売上,20250401,2,,,その他,20日,10,0,商品,C125040531,2C2300,スクラップ,,,,222,0,1,222,ｔ単価,28000,6216,622,28000,6216,00000244,ｻﾐｯﾄｽﾁｰﾙ,,,,2252,吉岡大貴
2,営業２部,20250401,2,00198531,00134635,,25195904,阪和  薄板1(商品),00338530,東洋シール工業㈱,00000137,新木,2,大阪本店,,134635,売上,20250401,2,029,日本ロジコム(下浦),配達,15日,10,0,商品,L125031177,2L2000,ＣＴ,,," 0.400 ×     53.00 ×  C",168,0,5,840,ｔ単価,328000,275520,27552,269846.43,226671,00000205,南港Ｃ倉庫,68-28516,M5073-S3-22,,2158,安藤美佳
2,営業２部,20250401,2,00198531,00134635,,25195904,阪和  薄板1(商品),00338530,東洋シール工業㈱,00000137,新木,2,大阪本店,,134635,売上,20250401,2,029,日本ロジコム(下浦),配達,15日,10,0,商品,L125033197,2L2000,ＣＴ,,," 0.400 ×     53.00 ×  C",168,0,5,840,ｔ単価,328000,275520,27552,269846.43,226671,00000205,南港Ｃ倉庫,68-28516,M5073-S3-22,,2158,安藤美佳
2,営業２部,20250401,2,00198531,00134635,,25195904,阪和  薄板1(商品),00338530,東洋シール工業㈱,00000137,新木,2,大阪本店,,134635,売上,20250401,2,029,日本ロジコム(下浦),配達,15日,10,0,商品,L125033198,2L2000,ＣＴ,,," 0.400 ×     53.00 ×  C",168,0,4,672,ｔ単価,328000,220416,22042,269846.73,181337,00000205,南港Ｃ倉庫,68-28516,M5073-S3-22,,2158,安藤美佳
2,営業２部,20250401,2,00198531,00134635,,25195904,阪和  薄板1(商品),00338530,東洋シール工業㈱,00000137,新木,2,大阪本店,,134635,売上,20250401,2,029,日本ロジコム(下浦),配達,15日,10,0,商品,L125033199,2L2000,ＣＴ,,," 0.400 ×     53.00 ×  C",169,0,5,845,ｔ単価,328000,277160,27716,269850.89,228024,00000205,南港Ｃ倉庫,68-28516,M5073-S3-22,,2158,安藤美佳
2,営業２部,20250401,2,00198531,00134635,,25195904,阪和  薄板1(商品),00338530,東洋シール工業㈱,00000137,新木,2,大阪本店,,134635,売上,20250401,2,029,日本ロジコム(下浦),配達,15日,10,0,商品,L125033200,2L2000,ＣＴ,,," 0.400 ×     53.00 ×  C",169,0,5,845,ｔ単価,328000,277160,27716,269846.15,228020,00000205,南港Ｃ倉庫,68-28516,M5073-S3-22,,2158,安藤美佳
2,営業２部,20250401,2,00198531,00134635,,25195904,阪和  薄板1(商品),00338530,東洋シール工業㈱,00000137,新木,2,大阪本店,,134635,売上,20250401,2,029,日本ロジコム(下浦),配達,15日,10,0,商品,L125033201,2L2000,ＣＴ,,," 0.400 ×     53.00 ×  C",169,0,4,676,ｔ単価,328000,221728,22173,269846.15,182416,00000205,南港Ｃ倉庫,68-28516,M5073-S3-22,,2158,安藤美佳
2,営業２部,20250401,2,00198532,00134346,,21377000,キョウエイマテリアル,00200035,(有)てんじん,00000137,新木,2,大阪本店,,134346,売上,20250401,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,C125031159,2C2600,SGHC-Z12,,," 1.600 ×  1,230.00 ×  2,000.00",31.30,65,5,10170,ｔ単価,105000,1067850,106785,89926.35,914551,00000203,南港Ａ倉庫,,,,2158,安藤美佳
2,営業２部,20250401,2,00198532,00134346,,21377000,キョウエイマテリアル,00200035,(有)てんじん,00000137,新木,2,大阪本店,,134346,売上,20250401,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,C125031160,2C2600,SGHC-Z12,,," 1.600 ×  1,230.00 ×  2,000.00",31.30,68,1,2128,ｔ単価,105000,223440,22344,89926.22,191363,00000203,南港Ａ倉庫,,,,2158,安藤美佳
2,営業２部,20250401,2,00198549,00134578,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134578,売上,20250401,2,029,日本ロジコム(下浦),配達,末日,10,0,商品,L125033333,2L2300,SAPH440-P,,," 3.200 ×    149.00 ×  C",835,0,2,1670,ｔ単価,127000,212090,21209,125231.14,209136,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
